"Financial Year & Period","Route","Route Name","Area","Area Name","Delivery Unit","Delivery Unit Name","Incident Summary Group","Incident Category","Incident Category Description","Incident Reason","Incident Reason Description","Responsible Organisation","Responsible Organisation Name","Responsible Manager","Responsible Manager Name","Responsible Function Level 3 Desc","Responsible Function Level 3 Name","v_Incident Count","v_PfPI Minutes"
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Network Management / Other","502A","Timetable Planning","QM","Train schedule/STP Process including erroneous simplifiers","NR","Network Rail","QQAO","HQ DRS Takeback","Route Performance & Commercial","ROUTE PERFORMANCE & COMMERCIAL",2,10
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Network Management / Other","502C","Network Rail commercial takeback/other","Q1","Takeback Pumps","NR","Network Rail","QQAP","HQ XC Takeback","Route Performance & Commercial","ROUTE PERFORMANCE & COMMERCIAL",2,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Network Management / Other","601","All Z codes - Unexplained","ZS","No Cause ascertainable for a Sub-Threshold Delay causing Threshold Reactionary (where agreed by both parties)","NR","Network Rail","ZQBG","SUS GTR Unexplained","Route Performance & Commercial","ROUTE PERFORMANCE & COMMERCIAL",1,1
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Network Management / Other","601","All Z codes - Unexplained","ZS","No Cause ascertainable for a Sub-Threshold Delay causing Threshold Reactionary (where agreed by both parties)","NR","Network Rail","ZQCY","WSX SWR UNEXPLAINED","Route Performance & Commercial","ROUTE PERFORMANCE & COMMERCIAL",13,43
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Network Management / Other","601","All Z codes - Unexplained","ZU","No Cause Identified After investigation by both Parties","NR","Network Rail","ZQAP","HQ XC Unexplained","Route Performance & Commercial","ROUTE PERFORMANCE & COMMERCIAL",4,15
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Network Management / Other","601","All Z codes - Unexplained","ZU","No Cause Identified After investigation by both Parties","NR","Network Rail","ZQDJ","WES GWR UNEXPLAINED","Route Performance & Commercial","ROUTE PERFORMANCE & COMMERCIAL",2,4
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Network Management / Other","602","Uninvestigated Delay","ON","Delays not properly investigated by Network Rail","NR","Network Rail","OQKF","STH ATTRIBUTION MNGR WESSEX","Route Performance & Commercial","ROUTE PERFORMANCE & COMMERCIAL",2,11
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Network Management / Other","602","Uninvestigated Delay","OU","Delays not Investigated by Network Rail","NR","Network Rail","OQKF","STH ATTRIBUTION MNGR WESSEX","Route Performance & Commercial","ROUTE PERFORMANCE & COMMERCIAL",1,2
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Network Management / Other","602","Uninvestigated Delay","OU","Delays not Investigated by Network Rail","NR","Network Rail","OQKM","STH WESSEX DATA QUALITY ","Route Performance & Commercial","ROUTE PERFORMANCE & COMMERCIAL",7,7
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Non-Track Assets","101","Points failures","IB","Points failure (including no fault found)","NR","Network Rail","IQCZ","WSX Outer DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",7,407
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Non-Track Assets","103","Level crossing failures","ID","Level crossing faults and failure incl. barrow/foot crossings and crossing treadles","NR","Network Rail","IQCZ","WSX Outer DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",4,95
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Non-Track Assets","201","OLE/Third Rail faults","I1","Overhead line/third rail defect","NR","Network Rail","IQCZ","WSX Outer DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",1,358
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Non-Track Assets","201","OLE/Third Rail faults","I4","OHLE/third rail power supply failure or reduction","NR","Network Rail","IQCZ","WSX Outer DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",2,29
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Non-Track Assets","301A","Signal Failures","IA","Signal failure (including no fault found)","NR","Network Rail","IQCZ","WSX Outer DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",7,101
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Non-Track Assets","301B","Track Circuit Failures","IC","Track circuit failure (including no fault found)","NR","Network Rail","IQCZ","WSX Outer DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",15,367
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Non-Track Assets","301C","Axle Counter Failures","J3","Axle Counter Failure","NR","Network Rail","IQCZ","WSX Outer DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",4,93
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Non-Track Assets","302A","Signalling System & Power Supply Failures","IE","Signalling Functional Power Supply Failure","NR","Network Rail","IQCZ","WSX Outer DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",2,108
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Non-Track Assets","302A","Signalling System & Power Supply Failures","IF","Train Describer/Panel/ARS/SSI/TDM Remote Control failure","NR","Network Rail","IQCZ","WSX Outer DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",8,95
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Non-Track Assets","302A","Signalling System & Power Supply Failures","IH","Power Supply And Distribution System Failure","NR","Network Rail","IQCZ","WSX Outer DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",1,26
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Non-Track Assets","303","Telecoms failures","IK","Telecom equipment failure (including no fault found)","NR","Network Rail","IQCZ","WSX Outer DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",2,5
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Non-Track Assets","304","Cable faults (signalling & comms)","II","Signalling lineside cable fault","NR","Network Rail","IQCZ","WSX Outer DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",3,99
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Operations","701B","Train operations","FK","Train diverted/re-routed at FOC request","DB","Freightliner Intermodal","FDBF","Fliner                        ","NONE","NONE",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Operations","701B","Train operations","FK","Train diverted/re-routed at FOC request","P1","GB Rail Eng","FPEI","GB Rail Infrastructure","NONE","NONE",1,9
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Operations","701B","Train operations","FO","Time Lost en-route believed to be operator cause and  information required from Operator (Ops Responsibility)","D2","Freightliner HH","FDBH","F/Liner Hh Non Coal","NONE","NONE",2,12
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Operations","701B","Train operations","FO","Time Lost en-route believed to be operator cause and  information required from Operator (Ops Responsibility)","DB","Freightliner Intermodal","FDBF","Fliner                        ","NONE","NONE",5,17
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Operations","701B","Train operations","FO","Time Lost en-route believed to be operator cause and  information required from Operator (Ops Responsibility)","PE","GB Railfreight","FPEC","GB Railfreight","NONE","NONE",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Operations","701B","Train operations","FO","Time Lost en-route believed to be operator cause and  information required from Operator (Ops Responsibility)","R2","Colas Infrastucture","FRGI","COLAS RAIL INFRASTRUCTURE","NONE","NONE",1,10
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Operations","701B","Train operations","FX","Freight train running at lower class or speed than planned classification or overweight","DB","Freightliner Intermodal","FDBF","Fliner                        ","NONE","NONE",1,2
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Operations","701B","Train operations","FZ","Other FOC causes incl. cause to be specified, including mishaps","ZZ","DBCargo RITS","FWAE","DBC Infrastructure","NONE","NONE",1,7
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Operations","701B","Train operations","TA","Train-crew/loco/stock/unit diagram issues","HY","South Western Railway","THY7","SWR - DRMS (Outer)","NONE","NONE",1,18
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Operations","701B","Train operations","TA","Train-crew/loco/stock/unit diagram issues","HY","South Western Railway","THYV","SWR Train Planning Unit","NONE","NONE",2,13
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Operations","701B","Train operations","TZ","Other Passenger Train Operating Company causes","EF","GWR","TEF8","GWR HQ Commercial","GW Operations - HQ","FGW OPERATIONS - HQ",1,""
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Operations","701B","Train operations","TZ","Other Passenger Train Operating Company causes","EF","GWR","TEFY","GWR Control Centre Operations","GW Operations - HQ","FGW OPERATIONS - HQ",1,""
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Operations","701B","Train operations","TZ","Other Passenger Train Operating Company causes","EH","CrossCountry","DEHX","XC Joint Responsibility","NONE","NONE",2,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Severe Weather, Autumn & Structures","105","Civil Engineering structures, earthworks & buildings","JD","Structures - Bridges/tunnels/buildings/retaining walls/sea defences (not bridge strikes)","NR","Network Rail","IQCE","WSX RAM Buildings","Buildings","RAM BUILDINGS",1,4
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Severe Weather, Autumn & Structures","105","Civil Engineering structures, earthworks & buildings","JD","Structures - Bridges/tunnels/buildings/retaining walls/sea defences (not bridge strikes)","NR","Network Rail","IQCZ","WSX Outer DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",1,25
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Severe Weather, Autumn & Structures","110B","Other weather (impact on infrastructure or network operations)","JH","Critical Rail Temperature speeds, (other than buckled rails)","NR","Network Rail","IQCZ","WSX Outer DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",5,33
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Stations","701E","Station delays","R2","Late TRTS given by station staff","HY","South Western Railway","RHYC","SWR Regional Manager Waterloo","NONE","NONE",1,8
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Stations","701E","Station delays","RM","Waiting connections from other transport modes","HY","South Western Railway","RHYM","SWR Regional Manager South","NONE","NONE",1,12
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Stations","701E","Station delays","RQ","Un-booked assistance for a person with reduced mobility joining/alighting,","HY","South Western Railway","RHYM","SWR Regional Manager South","NONE","NONE",1,4
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Stations","701E","Station delays","RV","Customer Information system failure","HY","South Western Railway","RHYL","SWR Regional Manager West","NONE","NONE",2,10
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Stations","701E","Station delays","RY","Mishap - Station Operating causes","HY","South Western Railway","RHYM","SWR Regional Manager South","NONE","NONE",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Stations","701E","Station delays","T2","Delay at unstaffed station to non-DOO train","HY","South Western Railway","THYA","South West Toc                ","NONE","NONE",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Stations","701E","Station delays","T2","Delay at unstaffed station to non-DOO train","HY","South Western Railway","THYJ","CSM Fratton                   ","NONE","NONE",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Stations","701E","Station delays","T2","Delay at unstaffed station to non-DOO train","HY","South Western Railway","THYN","CSM Salisbury                 ","NONE","NONE",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Stations","701E","Station delays","T2","Delay at unstaffed station to non-DOO train","HY","South Western Railway","THYU","CSM Waterloo                  ","NONE","NONE",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Stations","701E","Station delays","T2","Delay at unstaffed station to non-DOO train","HY","South Western Railway","THYX","CSM Weymouth                  ","NONE","NONE",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","TOC Other","701F","External Causes (Train Operator)","V8","Train striking or being struck by a bird","HY","South Western Railway","VHYA","Retail HQ/To Be Allocated     ","NONE","NONE",1,7
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","TOC Other","701F","External Causes (Train Operator)","VA","Disorder/drunks or trespass","EF","GWR","VEFC","GWR External On Train - CNTL","GW On Train - Central","FGW ON TRAIN - CENTRAL",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","TOC Other","701F","External Causes (Train Operator)","VA","Disorder/drunks or trespass","HY","South Western Railway","VHYE","CSM Bournemouth               ","NONE","NONE",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","TOC Other","701F","External Causes (Train Operator)","VA","Disorder/drunks or trespass","HY","South Western Railway","VHYM","SWR Regional Manager South","NONE","NONE",2,7
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","TOC Other","701F","External Causes (Train Operator)","VA","Disorder/drunks or trespass","HY","South Western Railway","VHYV","SWR Regional Manager West","NONE","NONE",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","TOC Other","701F","External Causes (Train Operator)","VG","Police searching train","HY","South Western Railway","VHYE","CSM Bournemouth               ","NONE","NONE",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","TOC Other","701F","External Causes (Train Operator)","VH","Passenger Communication cord, door egress or emergency train alarm operated","HY","South Western Railway","VHYC","CSM Basingstoke               ","NONE","NONE",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","TOC Other","701F","External Causes (Train Operator)","VH","Passenger Communication cord, door egress or emergency train alarm operated","HY","South Western Railway","VHYE","CSM Bournemouth               ","NONE","NONE",1,4
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","TOC Other","701F","External Causes (Train Operator)","VH","Passenger Communication cord, door egress or emergency train alarm operated","HY","South Western Railway","VHYN","CSM Salisbury                 ","NONE","NONE",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","TOC Other","701F","External Causes (Train Operator)","VH","Passenger Communication cord, door egress or emergency train alarm operated","HY","South Western Railway","VHYU","CSM Waterloo                  ","NONE","NONE",2,10
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","TOC Other","701F","External Causes (Train Operator)","VH","Passenger Communication cord, door egress or emergency train alarm operated","HY","South Western Railway","VHYX","CSM Weymouth                  ","NONE","NONE",1,10
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","TOC Other","701F","External Causes (Train Operator)","VZ","Other passenger or external causes the responsibility of TOC","HY","South Western Railway","VHYA","Retail HQ/To Be Allocated     ","NONE","NONE",1,20
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","TOC Other","701F","External Causes (Train Operator)","VZ","Other passenger or external causes the responsibility of TOC","HY","South Western Railway","VHYX","CSM Weymouth                  ","NONE","NONE",1,7
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","TOC Other","701G","Freight Terminal/Yard delays","AA","Waiting acceptance into off Network Rail network Terminal or Yard","DB","Freightliner Intermodal","ADBF","F/Liner                       ","NONE","NONE",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","TOC Other","701G","Freight Terminal/Yard delays","AC","Waiting Train preparation or completion of TOPS list/RT3973","PE","GB Railfreight","APEC","GB Railfreight","NONE","NONE",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","TOC Other","701G","Freight Terminal/Yard delays","AE","Congestion in off Network Rail network Terminal or Yard","DB","Freightliner Intermodal","ADBF","F/Liner                       ","NONE","NONE",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","TOC Other","701G","Freight Terminal/Yard delays","AJ","Waiting Customer's traffic including release information and documentation","PE","GB Railfreight","APEC","GB Railfreight","NONE","NONE",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","TOC Other","701G","Freight Terminal/Yard delays","AJ","Waiting Customer's traffic including release information and documentation","R2","Colas Infrastucture","ARGI","COLAS RAIL INFRASTRUCTURE","NONE","NONE",1,10
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","TOC Other","701G","Freight Terminal/Yard delays","AJ","Waiting Customer's traffic including release information and documentation","WA","DB Cargo","AWAJ","DBC Intermodal","NONE","NONE",1,4
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","TOC Other","701G","Freight Terminal/Yard delays","FW","Late start/yard overtime not explained by Operator","DB","Freightliner Intermodal","FDBF","Fliner                        ","NONE","NONE",6,61
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","TOC Other","701G","Freight Terminal/Yard delays","FW","Late start/yard overtime not explained by Operator","PH","Rail Operations Group","FPHA","RAIL OPERATIONS GROUP","NONE","NONE",1,12
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","TOC Other","701G","Freight Terminal/Yard delays","FW","Late start/yard overtime not explained by Operator","PO","DCR","FPOF","Devon & Cornwall Rly Freight","NONE","NONE",1,4
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Track","104A","TSRs Due to Condition of Track","JS","Condition of Track TSR outside the Timetable Planning Rules","NR","Network Rail","IQCZ","WSX Outer DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",1,166
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Track","104B","Track Faults including Broken Rails","IR","Broken/cracked/twisted/buckled/flawed rail","NR","Network Rail","IQCZ","WSX Outer DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",5,486
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Track","104B","Track Faults including Broken Rails","IS","Track defects (other than rail defects) inc. fish plates, wet beds etc.","NR","Network Rail","IQCA","WSX RAM Civils","Civils","RAM CIVILS",1,1022
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Track","104B","Track Faults including Broken Rails","IS","Track defects (other than rail defects) inc. fish plates, wet beds etc.","NR","Network Rail","IQCG","WSX Works Delivery Wessex","Works Delivery","WORKS DELIVERY",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Track","104B","Track Faults including Broken Rails","IS","Track defects (other than rail defects) inc. fish plates, wet beds etc.","NR","Network Rail","IQCZ","WSX Outer DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",12,1036
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Track","104D","Reactionary delay to P-coded TSRs","JB","Reactionary Delay to 'P' coded TSRs","NR","Network Rail","IQCZ","WSX Outer DU","Infrastructure Maintenance Delivery","INFRASTRUCTURE MAINT. DELIVERY",4,35
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Traincrew","701C","Traincrew causes","FE","Train Crew not available including after rest","DB","Freightliner Intermodal","FDBF","Fliner                        ","NONE","NONE",3,28
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Traincrew","701C","Traincrew causes","FE","Train Crew not available including after rest","ZZ","DBCargo RITS","FWAE","DBC Infrastructure","NONE","NONE",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Traincrew","701C","Traincrew causes","TG","Driver","EF","GWR","TEFH","GWR West Traincrew Bristol","GW Drivers - Central","FGW DRIVERS - CENTRAL",1,7
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Traincrew","701C","Traincrew causes","TG","Driver","EH","CrossCountry","TEHG","XC Driver Bournemouth","NONE","NONE",2,8
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Traincrew","701C","Traincrew causes","TG","Driver","ET","GTR","UETI","GTR SN Train Crew BAA","NONE","NONE",2,7
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Traincrew","701C","Traincrew causes","TG","Driver","HY","South Western Railway","THY1","SWR DSM Yeovil Junction","NONE","NONE",3,9
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Traincrew","701C","Traincrew causes","TG","Driver","HY","South Western Railway","THY2","SWR DSM Northam","NONE","NONE",2,23
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Traincrew","701C","Traincrew causes","TG","Driver","HY","South Western Railway","THY7","SWR - DRMS (Outer)","NONE","NONE",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Traincrew","701C","Traincrew causes","TG","Driver","HY","South Western Railway","THYA","South West Toc                ","NONE","NONE",5,27
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Traincrew","701C","Traincrew causes","TG","Driver","HY","South Western Railway","THYB","DSM Basingstoke               ","NONE","NONE",2,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Traincrew","701C","Traincrew causes","TG","Driver","HY","South Western Railway","THYH","DSM Fratton                   ","NONE","NONE",5,31
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Traincrew","701C","Traincrew causes","TG","Driver","HY","South Western Railway","THYK","DSM Guildford                 ","NONE","NONE",1,""
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Traincrew","701C","Traincrew causes","TG","Driver","HY","South Western Railway","THYM","DSM Salisbury                 ","NONE","NONE",6,25
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Traincrew","701C","Traincrew causes","TG","Driver","HY","South Western Railway","THYP","DSM Staines                   ","NONE","NONE",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Traincrew","701C","Traincrew causes","TG","Driver","HY","South Western Railway","THYT","DSM Waterloo                  ","NONE","NONE",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Traincrew","701C","Traincrew causes","TG","Driver","HY","South Western Railway","THYY","DSM Woking                    ","NONE","NONE",1,4
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Traincrew","701C","Traincrew causes","TH","(Senior) Conductor/Train Manager","EF","GWR","TEFO","GWR West Traincrew Fratton","GW Drivers - Central","FGW DRIVERS - CENTRAL",1,""
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Traincrew","701C","Traincrew causes","TH","(Senior) Conductor/Train Manager","HY","South Western Railway","THYC","CSM Basingstoke               ","NONE","NONE",1,3
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Traincrew","701C","Traincrew causes","TH","(Senior) Conductor/Train Manager","HY","South Western Railway","THYE","CSM Bournemouth               ","NONE","NONE",1,11
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Traincrew","701C","Traincrew causes","TH","(Senior) Conductor/Train Manager","HY","South Western Railway","THYJ","CSM Fratton                   ","NONE","NONE",5,36
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Traincrew","701C","Traincrew causes","TH","(Senior) Conductor/Train Manager","HY","South Western Railway","THYU","CSM Waterloo                  ","NONE","NONE",2,44
"2020/21_P01","C","Wessex","GMWE","Wessex","DUEST","WESSEX OUTER","Traincrew","701C","Traincrew causes","TI","Traincrew rostering problem","HY","South Western Railway","THY7","SWR - DRMS (Outer)","NONE","NONE",1,8
"2020/21_P01","D","Western","GMTV","GM Thames Valley","DUEAS","WESTERN EAST","External","403","External level crossing/road incidents (not bridges)","XD","Level Crossing Incidents including misuse and emergency services being prioritised over rail services","NR","Network Rail","XQDZ","WES External","External Causes","EXTERNAL CAUSES",1,3
"2020/21_P01","D","Western","GMTV","GM Thames Valley","DUEAS","WESTERN EAST","External","503","External fatalities and trespass","XA","Trespass (including non-intentional)","NR","Network Rail","XQDZ","WES External","External Causes","EXTERNAL CAUSES",7,105
"2020/21_P01","D","Western","GMTV","GM Thames Valley","DUEAS","WESTERN EAST","External","506","External other","X8","Animal Strike or incursion not within the control of Network Rail","NR","Network Rail","XQDZ","WES External","External Causes","EXTERNAL CAUSES",1,3
"2020/21_P01","D","Western","GMTV","GM Thames Valley","DUEAS","WESTERN EAST","External","506","External other","XO","External trees, building or structures encroaching or falling onto network infrastructure (not weather or vandalism)","NR","Network Rail","XQDZ","WES External","External Causes","EXTERNAL CAUSES",1,7
"2020/21_P01","D","Western","GMTV","GM Thames Valley","DUEAS","WESTERN EAST","Fleet","701A","Non-technical Fleet delays","MS","Planned underpowered or shortformed service and or vehicle, incl. exam set swaps","EF","GWR","MEF2","GWR Depot Reading","GW Depot Operations","FGW DEPOT OPERATIONS",1,0
"2020/21_P01","D","Western","GMTV","GM Thames Valley","DUEAS","WESTERN EAST","Fleet","701A","Non-technical Fleet delays","MS","Planned underpowered or shortformed service and or vehicle, incl. exam set swaps","EF","GWR","MEF5","HRE 80* FLEET MANAGEMENT","GW Depot Operations","FGW DEPOT OPERATIONS",1,16
"2020/21_P01","D","Western","GMTV","GM Thames Valley","DUEAS","WESTERN EAST","Fleet","701A","Non-technical Fleet delays","MS","Planned underpowered or shortformed service and or vehicle, incl. exam set swaps","EF","GWR","MEFL","GWR Class 16* Fleet LTV","GW Fleet Manager - L&TV","FGW FLEET MANAGER - L&TV",1,4
"2020/21_P01","D","Western","GMTV","GM Thames Valley","DUEAS","WESTERN EAST","Fleet","701A","Non-technical Fleet delays","MU","Depot operating problem","EF","GWR","MEF2","GWR Depot Reading","GW Depot Operations","FGW DEPOT OPERATIONS",1,3
"2020/21_P01","D","Western","GMTV","GM Thames Valley","DUEAS","WESTERN EAST","Fleet","701A","Non-technical Fleet delays","MU","Depot operating problem","EF","GWR","MEFG","HRE Depot North Pole IEP","GW Fleet Manager - HSS","FGW FLEET MANAGER - HSS",1,10
"2020/21_P01","D","Western","GMTV","GM Thames Valley","DUEAS","WESTERN EAST","Fleet","701A","Non-technical Fleet delays","MU","Depot operating problem","EX","TfL Rail","MEXH","TFL Crossrail Class 360 Fleet","NONE","NONE",2,11
